Jerarquía;Descripción;esHoja;Puntuación
1.2.10.523.545.587;Documento > Párrafos > Párrafo > TabStops > Tabulación > Alineación;true;1
1.2.10.523.545.588;Documento > Párrafos > Párrafo > TabStops > Tabulación > Relleno;true;1
1.2.10.523.545.589;Documento > Párrafos > Párrafo > TabStops > Tabulación > Posición;true;1
1.2.10.523.546;Documento > Párrafos > Párrafo > TabStops > Tabulación;false;0
1.2.10.523.546.590;Documento > Párrafos > Párrafo > TabStops > Tabulación > Alineación;true;1
1.2.10.523.546.591;Documento > Párrafos > Párrafo > TabStops > Tabulación > Relleno;true;1
1.2.10.523.546.592;Documento > Párrafos > Párrafo > TabStops > Tabulación > Posición;true;1
1.2.10.523.547;Documento > Párrafos > Párrafo > TabStops > Tabulación;false;0
1.2.10.523.547.593;Documento > Párrafos > Párrafo > TabStops > Tabulación > Alineación;true;1
1.2.10.523.547.594;Documento > Párrafos > Párrafo > TabStops > Tabulación > Relleno;true;1
1.2.10.523.547.595;Documento > Párrafos > Párrafo > TabStops > Tabulación > Posición;true;1
1.2.10.524;Documento > Párrafos > Párrafo > WidowControl;true;1
1.2.10.525;Documento > Párrafos > Párrafo > Range;false;0
1.2.10.525.596;Documento > Párrafos > Párrafo > Range > Bordes;false;0
1.2.10.525.596.605;Documento > Párrafos > Párrafo > Range > Bordes > Borde;false;0
1.2.10.525.596.605.616;Documento > Párrafos > Párrafo > Range > Bordes > Borde > Estilo de línea;true;1
1.2.10.525.596.605.617;Documento > Párrafos > Párrafo > Range > Bordes > Borde > Ancho de línea;true;1
1.2.10.525.596.605.618;Documento > Párrafos > Párrafo > Range > Bordes > Borde > Color;true;1
1.2.10.525.596.606;Documento > Párrafos > Párrafo > Range > Bordes > Borde;false;0
1.2.10.525.596.606.619;Documento > Párrafos > Párrafo > Range > Bordes > Borde > Estilo de línea;true;1
1.2.10.525.596.606.620;Documento > Párrafos > Párrafo > Range > Bordes > Borde > Ancho de línea;true;1
1.2.10.525.596.606.621;Documento > Párrafos > Párrafo > Range > Bordes > Borde > Color;true;1
1.2.10.525.596.607;Documento > Párrafos > Párrafo > Range > Bordes > Borde;false;0
1.2.10.525.596.607.622;Documento > Párrafos > Párrafo > Range > Bordes > Borde > Estilo de línea;true;1
1.2.10.525.596.607.623;Documento > Párrafos > Párrafo > Range > Bordes > Borde > Ancho de línea;true;1
1.2.10.525.596.607.624;Documento > Párrafos > Párrafo > Range > Bordes > Borde > Color;true;1
1.2.10.525.596.608;Documento > Párrafos > Párrafo > Range > Bordes > Borde;false;0
1.2.10.525.596.608.625;Documento > Párrafos > Párrafo > Range > Bordes > Borde > Estilo de línea;true;1
1.2.10.525.596.608.626;Documento > Párrafos > Párrafo > Range > Bordes > Borde > Ancho de línea;true;1
1.2.10.525.596.608.627;Documento > Párrafos > Párrafo > Range > Bordes > Borde > Color;true;1
1.2.10.525.596.609;Documento > Párrafos > Párrafo > Range > Bordes > Borde;false;0
1.2.10.525.596.609.628;Documento > Párrafos > Párrafo > Range > Bordes > Borde > Estilo de línea;true;1
1.2.10.525.596.609.630;Documento > Párrafos > Párrafo > Range > Bordes > Borde > Color;true;1
1.2.10.525.596.610;Documento > Párrafos > Párrafo > Range > Bordes > Borde;false;0
1.2.10.525.596.610.631;Documento > Párrafos > Párrafo > Range > Bordes > Borde > Estilo de línea;true;1
1.2.10.525.596.610.633;Documento > Párrafos > Párrafo > Range > Bordes > Borde > Color;true;1
1.2.10.525.596.611;Documento > Párrafos > Párrafo > Range > Bordes > Borde;false;0
1.2.10.525.596.611.634;Documento > Párrafos > Párrafo > Range > Bordes > Borde > Estilo de línea;true;1
1.2.10.525.596.611.636;Documento > Párrafos > Párrafo > Range > Bordes > Borde > Color;true;1
1.2.10.525.596.612;Documento > Párrafos > Párrafo > Range > Bordes > Dist. Inferior;true;0
1.2.10.525.596.613;Documento > Párrafos > Párrafo > Range > Bordes > Dist. Izquierda;true;0
1.2.10.525.596.614;Documento > Párrafos > Párrafo > Range > Bordes > Dist. Derecha;true;0
1.2.10.525.596.615;Documento > Párrafos > Párrafo > Range > Bordes > Dist. Superior;true;0
1.2.10.525.597;Documento > Párrafos > Párrafo > Range > Shading;false;0
1.2.10.525.597.637;Documento > Párrafos > Párrafo > Range > Shading > BackgroundPatternColor;true;1
1.2.10.525.597.638;Documento > Párrafos > Párrafo > Range > Shading > ForegroundPatternColor;true;1
1.2.10.525.597.639;Documento > Párrafos > Párrafo > Range > Shading > Texture;true;1
1.2.10.525.598;Documento > Párrafos > Párrafo > Range > Bold;true;1
1.2.10.525.599;Documento > Párrafos > Párrafo > Range > Font;false;0
1.2.10.525.599.640;Documento > Párrafos > Párrafo > Range > Font > Shading;false;0
1.2.10.525.599.640.660;Documento > Párrafos > Párrafo > Range > Font > Shading > BackgroundPatternColor;true;1
1.2.10.525.599.640.661;Documento > Párrafos > Párrafo > Range > Font > Shading > ForegroundPatternColor;true;1
1.2.10.525.599.640.662;Documento > Párrafos > Párrafo > Range > Font > Shading > Texture;true;1
1.2.10.525.599.641;Documento > Párrafos > Párrafo > Range > Font > Color;true;1
1.2.10.525.599.642;Documento > Párrafos > Párrafo > Range > Font > Bold;true;1
1.2.10.525.599.643;Documento > Párrafos > Párrafo > Range > Font > Italic;true;1
1.2.10.525.599.644;Documento > Párrafos > Párrafo > Range > Font > Underline;true;1
1.2.10.525.599.645;Documento > Párrafos > Párrafo > Range > Font > DoubleStrikeThrough;true;1
1.2.10.525.599.646;Documento > Párrafos > Párrafo > Range > Font > Emboss;true;1
1.2.10.525.599.647;Documento > Párrafos > Párrafo > Range > Font > Engrave;true;1
1.2.10.525.599.648;Documento > Párrafos > Párrafo > Range > Font > Kerning;true;1
1.2.10.525.599.649;Documento > Párrafos > Párrafo > Range > Font > Name;true;1
1.2.10.525.599.650;Documento > Párrafos > Párrafo > Range > Font > Outline;true;1
1.2.10.525.599.651;Documento > Párrafos > Párrafo > Range > Font > Position;true;1
1.2.10.525.599.652;Documento > Párrafos > Párrafo > Range > Font > Scaling;true;1
1.2.10.525.599.653;Documento > Párrafos > Párrafo > Range > Font > Shadow;true;1
1.2.10.525.599.654;Documento > Párrafos > Párrafo > Range > Font > Size;true;1
1.2.10.525.599.655;Documento > Párrafos > Párrafo > Range > Font > Spacing;true;1
1.2.10.525.599.656;Documento > Párrafos > Párrafo > Range > Font > StrikeThrough;true;1
1.2.10.525.599.657;Documento > Párrafos > Párrafo > Range > Font > Subscript;true;1
