Jerarquía;Descripción;esHoja;Puntuación
1.2.7.63.74.84.97;Documento > Párrafos > Párrafo > Range > Bordes > Borde > Color;true;1
1.2.7.63.74.85.98;Documento > Párrafos > Párrafo > Range > Bordes > Borde > Estilo de línea;true;1
1.2.7.63.74.85.100;Documento > Párrafos > Párrafo > Range > Bordes > Borde > Color;true;1
1.2.7.63.74.86.101;Documento > Párrafos > Párrafo > Range > Bordes > Borde > Estilo de línea;true;1
1.2.7.63.74.86.102;Documento > Párrafos > Párrafo > Range > Bordes > Borde > Ancho de línea;true;1
1.2.7.63.74.86.103;Documento > Párrafos > Párrafo > Range > Bordes > Borde > Color;true;1
1.2.7.63.74.87.104;Documento > Párrafos > Párrafo > Range > Bordes > Borde > Estilo de línea;true;1
1.2.7.63.74.87.106;Documento > Párrafos > Párrafo > Range > Bordes > Borde > Color;true;1
1.2.7.63.75.107;Documento > Párrafos > Párrafo > Range > Shading > BackgroundPatternColor;true;1
1.2.7.63.75.108;Documento > Párrafos > Párrafo > Range > Shading > ForegroundPatternColor;true;1
1.2.7.63.75.109;Documento > Párrafos > Párrafo > Range > Shading > Texture;true;1
1.2.7.63.77.110;Documento > Párrafos > Párrafo > Range > Font > Shading;false;0
1.2.7.63.77.111;Documento > Párrafos > Párrafo > Range > Font > Color;true;1
1.2.7.63.77.112;Documento > Párrafos > Párrafo > Range > Font > Bold;true;1
1.2.7.63.77.113;Documento > Párrafos > Párrafo > Range > Font > Italic;true;1
1.2.7.63.77.114;Documento > Párrafos > Párrafo > Range > Font > Underline;true;1
1.2.7.63.77.115;Documento > Párrafos > Párrafo > Range > Font > DoubleStrikeThrough;true;1
1.2.7.63.77.116;Documento > Párrafos > Párrafo > Range > Font > Emboss;true;1
1.2.7.63.77.117;Documento > Párrafos > Párrafo > Range > Font > Engrave;true;1
1.2.7.63.77.118;Documento > Párrafos > Párrafo > Range > Font > Kerning;true;1
1.2.7.63.77.119;Documento > Párrafos > Párrafo > Range > Font > Name;true;1
1.2.7.63.77.120;Documento > Párrafos > Párrafo > Range > Font > Outline;true;1
1.2.7.63.77.121;Documento > Párrafos > Párrafo > Range > Font > Position;true;1
1.2.7.63.77.122;Documento > Párrafos > Párrafo > Range > Font > Scaling;true;1
1.2.7.63.77.123;Documento > Párrafos > Párrafo > Range > Font > Shadow;true;1
1.2.7.63.77.124;Documento > Párrafos > Párrafo > Range > Font > Size;true;1
1.2.7.63.77.125;Documento > Párrafos > Párrafo > Range > Font > Spacing;true;1
1.2.7.63.77.126;Documento > Párrafos > Párrafo > Range > Font > StrikeThrough;true;1
1.2.7.63.77.127;Documento > Párrafos > Párrafo > Range > Font > Subscript;true;1
1.2.7.63.77.128;Documento > Párrafos > Párrafo > Range > Font > Superscript;true;1
1.2.7.63.77.129;Documento > Párrafos > Párrafo > Range > Font > UnderlineColor;true;1
1.2.7.63.77.110.130;Documento > Párrafos > Párrafo > Range > Font > Shading > BackgroundPatternColor;true;1
1.2.7.63.77.110.131;Documento > Párrafos > Párrafo > Range > Font > Shading > ForegroundPatternColor;true;1
1.2.7.63.77.110.132;Documento > Párrafos > Párrafo > Range > Font > Shading > Texture;true;1
1.2.7.65.133;Documento > Párrafos > Párrafo > Rango-Prop. espec. párrafo > Formato de lista;false;0
1.2.7.65.133.134;Documento > Párrafos > Párrafo > Rango-Prop. espec. párrafo > Formato de lista > Nivel de lista;true;1
1.2.7.65.133.135;Documento > Párrafos > Párrafo > Rango-Prop. espec. párrafo > Formato de lista > Expr. Lista;true;1
1.2.7.65.133.136;Documento > Párrafos > Párrafo > Rango-Prop. espec. párrafo > Formato de lista > Tipo de lista;true;1
1.2.7.65.133.137;Documento > Párrafos > Párrafo > Rango-Prop. espec. párrafo > Formato de lista > Núm. Lista;true;1
1.2.8.138;Documento > Párrafos > Párrafo > Alineación;true;1
1.2.8.139;Documento > Párrafos > Párrafo > Letra capital;true;0
1.2.8.140;Documento > Párrafos > Párrafo > Sang. 1ª línea;true;1
1.2.8.141;Documento > Párrafos > Párrafo > KeepTogether;true;1
1.2.8.142;Documento > Párrafos > Párrafo > KeepWithNext;true;1
1.2.8.143;Documento > Párrafos > Párrafo > Sang. izq.;true;1
1.2.8.144;Documento > Párrafos > Párrafo > Interlineado;true;1
1.2.8.145;Documento > Párrafos > Párrafo > Interlineado;true;1
1.2.8.146;Documento > Párrafos > Párrafo > SpaceAfter;true;1
1.2.8.147;Documento > Párrafos > Párrafo > SpaceBefore;true;1
1.2.8.148;Documento > Párrafos > Párrafo > OutlineLevel;true;1
1.2.8.149;Documento > Párrafos > Párrafo > PageBreakBefore;true;1
1.2.8.150;Documento > Párrafos > Párrafo > Sang. dcha.;true;1
1.2.8.151;Documento > Párrafos > Párrafo > TabStops;false;0
1.2.8.152;Documento > Párrafos > Párrafo > WidowControl;true;1
1.2.8.153;Documento > Párrafos > Párrafo > Range;false;0
1.2.8.154;Documento > Párrafos > Párrafo > División automática de palabras;true;1
1.2.8.155;Documento > Párrafos > Párrafo > Rango-Prop. espec. párrafo;false;0
1.2.8.151.156;Documento > Párrafos > Párrafo > TabStops > Tabulación;false;0
1.2.8.151.157;Documento > Párrafos > Párrafo > TabStops > Tabulación;false;0
1.2.8.151.158;Documento > Párrafos > Párrafo > TabStops > Tabulación;false;0
1.2.8.151.159;Documento > Párrafos > Párrafo > TabStops > Tabulación;false;0
1.2.8.151.156.160;Documento > Párrafos > Párrafo > TabStops > Tabulación > Alineación;true;1
1.2.8.151.156.161;Documento > Párrafos > Párrafo > TabStops > Tabulación > Relleno;true;1
1.2.8.151.156.162;Documento > Párrafos > Párrafo > TabStops > Tabulación > Posición;true;1
1.2.8.151.157.163;Documento > Párrafos > Párrafo > TabStops > Tabulación > Alineación;true;1
1.2.8.151.157.164;Documento > Párrafos > Párrafo > TabStops > Tabulación > Relleno;true;1
1.2.8.151.157.165;Documento > Párrafos > Párrafo > TabStops > Tabulación > Posición;true;1
1.2.8.151.158.166;Documento > Párrafos > Párrafo > TabStops > Tabulación > Alineación;true;1
